Name,Fecha,TipoInvestigacion,TipoPredio,Estado,Barrio,Estrato,AreaPrivada,AreaLote,ValorComercial,ValorM2,Longitud,Latitud,ANIO,MES,DIA
181451.0,14-01-2022,VENTA,APARTAMENTO,USADO,BOMBONA # 1,3.0,177,41,370000000.0,2090395.0,-75.56157993,6.24319669,2022,1,14
181452.0,14-01-2022,VENTA,APARTAMENTO,USADO,BOMBONA # 1,4.0,104,15,390000000.0,3750000.0,-75.56196249,6.24351282,2022,1,14
181456.0,14-01-2022,VENTA,APARTAMENTO,USADO,BOSTON,4.0,188,32,350000000.0,1861702.0,-75.56000993,6.24931447,2022,1,14
181466.0,17-01-2022,VENTA,APARTAMENTO,USADO,BOSTON,4.0,150,92,230000000.0,1533333.0,-75.55802651,6.24946633,2022,1,17
181558.0,19-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,167,71,300000000.0,1796407.0,-75.56188185,6.26222026,2022,1,19
181570.0,19-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,146,58,350000000.0,2397260.0,-75.56313921,6.26112071,2022,1,19
181573.0,19-01-2022,VENTA,APARTAMENTO,USADO,TEJELO,3.0,142,30,350000000.0,2464789.0,-75.56772297,6.30498407,2022,1,19
181576.0,19-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,177,74,430000000.0,2429379.0,-75.56108306,6.26336977,2022,1,19
181577.0,19-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,101,43,300000000.0,2970297.0,-75.56108306,6.26336977,2022,1,19
181580.0,20-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,316,87,480000000.0,1518987.0,-75.56279992,6.26108384,2022,1,20
181585.0,20-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,107,26,270000000.0,2523364.0,-75.56148789,6.25818091,2022,1,20
181588.0,20-01-2022,VENTA,APARTAMENTO,USADO,ARANJUEZ,3.0,78,38,240000000.0,3076923.0,-75.55867479,6.27890527,2022,1,20
181593.0,20-01-2022,VENTA,APARTAMENTO,USADO,SAN MIGUEL,4.0,30,3,130000000.0,4333333.0,-75.55995155,6.25664162,2022,1,20
181595.0,20-01-2022,VENTA,APARTAMENTO,USADO,LOS ANGELES,4.0,127,50,380000000.0,2992126.0,-75.56085046,6.25456009,2022,1,20
181596.0,20-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,339,217,600000000.0,1769912.0,-75.55935726,6.25832163,2022,1,20
181597.0,20-01-2022,VENTA,APARTAMENTO,USADO,PRADO,5.0,56,13,200000000.0,3571429.0,-75.56336837,6.25825754,2022,1,20
181600.0,20-01-2022,VENTA,APARTAMENTO,USADO,PRADO,4.0,104,36,230000000.0,2211538.0,-75.5606675,6.26034388,2022,1,20
